S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
119,2018-2019,Tamil Nadu,075820196,Development Education And Welfare Institute,14 Ex-servicemens Enclave Selaiyur ChennaiTn-600044,0.00
120,2018-2019,Tamil Nadu,075870128,DEVELOPMENT EDUCATION ENVIRONMENT PARTY AND AWARENESS MOVEMENT,SANTHI NILAYAM GIRLS SCHOOL BUS STOPHARUR PO AND TK636903,0.00
121,2018-2019,Tamil Nadu,075940506,Dil Se Trust,1/145 AlathurThirumalpuram625014,0.00
122,2018-2019,Tamil Nadu,075890228,Distt.  Rural Development Organisation,Vannampatti SempattyDindigul T.k. Mannch Thirumakai-624707,0.00
123,2018-2019,Tamil Nadu,075900686,Divine Word Trust,Hill Topp.o.box-1304 St.thomas MountChennaikancheepuram Tamil Nadu-600016,0.00
124,2018-2019,Tamil Nadu,075900426,Dr.dathu Rao Memorial Charitable Trust,E-76/1 12th West Street Kamraj Nagar ThiruvanmiyurChennai-600041,24907095.00
125,2018-2019,Tamil Nadu,075980322,Dr.Peter Charitable Trust,90.Kumaran NagarSedukarai.PoGudiyatham632602,330000.00
126,2018-2019,Tamil Nadu,076100045,EBENEZER ASSOCIATION FOR SOCIAL TECHNICAL EDUCATIONAL REACHOUTS FOR THE RURAL POOR,43V.O.C.StreetKrishnapuram.GINGEE604202,0.00
127,2018-2019,Tamil Nadu,075900394,Ebenzer Home Of Social Outreaches, Anna NagarChennai-600040,8280789.00
128,2018-2019,Tamil Nadu,076000042,Econwel Orthopaedic Centre,Tharamangalam Taluk OmalurDistt. Salem Tamil Nadu.-636502,0.00
129,2018-2019,Tamil Nadu,075970122,EDHKWEHLYNAWD BOTANICAL REFUGE  EBR CENTRE TRUST,C/O.DENTAL CLINIC HOSPITAL ROADOOTACAMUND643001,0.00
130,2018-2019,Tamil Nadu,075940204,Education & Community Health Organisation Trust,Nagamani Saw Mill  Main Road M. Vadipatti Po DindigulTamil Nadu -624211,0.00
131,2018-2019,Tamil Nadu,075820168,Educational & Upliftment Society For Rural Downtrodden,No. 6 Rc School St. Gandhi Nagar Madurutkam ChenglepatTn-,0.00
132,2018-2019,Tamil Nadu,075890045,Educational And Economic Development Scheme,Pullu Vilai  ParakkaiPost  Kanya Kumari629601,0.00
133,2018-2019,Tamil Nadu,075940414,Edward Antonyammal Educational Trust,St. Marys Matriculation School S. Alangulam Anaiyur PostmaduraiTamil Nadu-625017,288811.00
134,2018-2019,Tamil Nadu,075940497,Elim Missionary Movemewnt,3-1/1Appadurai Nagar1st Street Kodal Nagar MaduraiTamilnadu-625018,1989775.00
135,2018-2019,Tamil Nadu,075820434,ELITE TRUST,NO 23 A METTUKOLATHUR KOLATHUR POST THOZHUPEDU VIA CHEYYUR TALUKKANCHEEPURAM603310,0.00
136,2018-2019,Tamil Nadu,075900153,Ellen Sharma Memorial Trust,11/12 Dr. Radhakrishnan Road 7th Lane MylaporeChennai-600004,30020783.00
137,2018-2019,Tamil Nadu,075900829,Elysiom,3 Thangavelu Street T. NagarChennai (tamil Nadu)-600017,593467.00
138,2018-2019,Tamil Nadu,075900656,Emma Trust,Amla Bhawan Rudra Road Chennai  -600014,18521330.83
139,2018-2019,Tamil Nadu,075850111,Emmanuel Gospel Mission Family For Orphans,47-gshanthi Nagar MettupalayamCoimboetore Tamil Nadu-641301,271667.00
140,2018-2019,Tamil Nadu,076030269,Empower,E-1123rd Cross Streetmaharaja NagartirunelveliTamilnadu-627011,0.00
141,2018-2019,Tamil Nadu,076000166,EVER LOVING MINISTRIES,NO 2 OVAIYAR STREET K M APARTMENTS SUBRAMANIYA NAGARSURAMANGALAM636005,0.00
142,2018-2019,Tamil Nadu,076060062,Everest Charitable Trust,54-56 Cutchery Street ErodeTamilnadu-638001,0.00
